;+
;> DESCRIPTION = 'Filter transmission curve for B-Band'
;> WAVE_UNITS  = '[um]'
;> T_UNITS     = '[]'
;-

;~            WAVE                T
     4.0020000E-01    2.5104000E+00
     4.0066000E-01    3.0558000E+00
     4.0112000E-01    3.4179000E+00
     4.0158000E-01    3.3180000E+00
     4.0204000E-01    3.2002000E+00
     4.0250000E-01    2.7818000E+00
     4.0297000E-01    2.8263000E+00
     4.0343000E-01    2.9468000E+00
     4.0389000E-01    3.0848000E+00
     4.0435000E-01    2.8913000E+00
     4.0481000E-01    2.3570000E+00
     4.0527000E-01    2.2377000E+00
     4.0573000E-01    2.4578000E+00
     4.0620000E-01    2.7832000E+00
     4.0666000E-01    2.8336000E+00
     4.0712000E-01    2.3892000E+00
     4.0758000E-01    2.4828000E+00
     4.0804000E-01    2.5583000E+00
     4.0850000E-01    3.0083000E+00
     4.0896000E-01    3.1375000E+00
     4.0943000E-01    3.1433000E+00
     4.0989000E-01    3.0421000E+00
     4.1035000E-01    3.0230000E+00
     4.1081000E-01    3.0867000E+00
     4.1127000E-01    3.2467000E+00
     4.1173000E-01    3.4044000E+00
     4.1219000E-01    3.6990000E+00
     4.1265000E-01    3.7353000E+00
     4.1311000E-01    3.5805000E+00
     4.1358000E-01    3.3754000E+00
     4.1404000E-01    3.4027000E+00
     4.1450000E-01    3.4270000E+00
     4.1496000E-01    3.4960000E+00
     4.1542000E-01    3.3113000E+00
     4.1588000E-01    3.3656000E+00
     4.1634000E-01    3.5089000E+00
     4.1680000E-01    3.6164000E+00
     4.1726000E-01    3.5924000E+00
     4.1772000E-01    3.4216000E+00
     4.1818000E-01    3.5761000E+00
     4.1865000E-01    3.7319000E+00
     4.1911000E-01    3.8803000E+00
     4.1957000E-01    3.8864000E+00
     4.2003000E-01    3.8512000E+00
     4.2049000E-01    3.8735000E+00
     4.2095000E-01    3.9446000E+00
     4.2141000E-01    3.8010000E+00
     4.2187000E-01    3.6699000E+00
     4.2233000E-01    3.6758000E+00
     4.2279000E-01    3.8712000E+00
     4.2325000E-01    4.0296000E+00
     4.2371000E-01    3.9604000E+00
     4.2417000E-01    3.8486000E+00
     4.2463000E-01    3.5608000E+00
     4.2509000E-01    3.6555000E+00
     4.2555000E-01    3.6739000E+00
     4.2602000E-01    3.8833000E+00
     4.2648000E-01    3.7580000E+00
     4.2694000E-01    3.7029000E+00
     4.2740000E-01    3.5545000E+00
     4.2786000E-01    3.4962000E+00
     4.2832000E-01    3.5043000E+00
     4.2878000E-01    3.6684000E+00
     4.2924000E-01    3.9943000E+00
     4.2970000E-01    4.0735000E+00
     4.3016000E-01    4.1351000E+00
     4.3062000E-01    4.0562000E+00
     4.3108000E-01    4.1864000E+00
     4.3154000E-01    4.1320000E+00
     4.3200000E-01    4.1957000E+00
     4.3246000E-01    4.3272000E+00
     4.3292000E-01    4.6145000E+00
     4.3338000E-01    4.6172000E+00
     4.3384000E-01    4.3645000E+00
     4.3430000E-01    4.3865000E+00
     4.3476000E-01    4.4815000E+00
     4.3522000E-01    4.8135000E+00
     4.3568000E-01    4.7813000E+00
     4.3614000E-01    4.9265000E+00
     4.3660000E-01    5.0115000E+00
     4.3706000E-01    5.1520000E+00
     4.3752000E-01    5.1860000E+00
