;+
;> DESCRIPTION = 'Filter transmission curve for NICMOS F110W'
;> WAVE_UNITS  = '[um]'
;> T_UNITS     = '[]'
;-

;~            WAVE                T
     6.1585400E-01    3.6556305E-04
     6.7071300E-01    0.0000000E+00
     7.2561100E-01    7.1188651E-04
     7.6829400E-01    8.4656758E-04
     7.8050900E-01    1.0351260E-02
     7.9284100E-01    7.6652880E-02
     7.9956400E-01    3.7958985E-01
     8.0527100E-01    1.9028519E-01
     8.0601400E-01    5.4999948E-01
     8.0622900E-01    6.5412738E-01
     8.0648300E-01    7.7718771E-01
     8.1283400E-01    9.0026674E-01
     8.1299100E-01    9.7599648E-01
     8.1928400E-01    1.0706754E+00
     8.2545900E-01    1.1085580E+00
     8.4938100E-01    8.8145048E-01
     8.4963500E-01    1.0045088E+00
     8.6796700E-01    1.0234994E+00
     8.7983000E-01    8.6261354E-01
     8.8567300E-01    7.3957289E-01
     8.9165400E-01    6.8279528E-01
     9.0425900E-01    8.8162276E-01
     9.0461100E-01    1.0520097E+00
     9.0521700E-01    1.3454620E+00
     9.1102100E-01    1.2034909E+00
     9.1764700E-01    1.4590999E+00
     9.2397900E-01    1.5727083E+00
     9.3592000E-01    1.4496883E+00
     9.4836900E-01    1.5727871E+00
     9.6066200E-01    1.6201600E+00
     9.6081800E-01    1.6958858E+00
     9.7920900E-01    1.7432784E+00
     1.0037600E+00    1.8190830E+00
     1.0159900E+00    1.8380538E+00
     1.0339900E+00    1.6961221E+00
     1.0463800E+00    1.7908187E+00
     1.0579100E+00    1.4690037E+00
     1.0583800E+00    1.6961910E+00
     1.0761500E+00    1.4406705E+00
     1.0878100E+00    1.1851206E+00
     1.0890600E+00    1.7909565E+00
     1.0948100E+00    1.6205833E+00
     1.1014100E+00    1.8667217E+00
     1.1131200E+00    1.6301032E+00
     1.1198100E+00    1.9141045E+00
     1.1380000E+00    1.8668398E+00
     1.1561400E+00    1.7911633E+00
     1.1565100E+00    1.9710170E+00
     1.1870000E+00    1.9711154E+00
     1.1927600E+00    1.8102128E+00
     1.2055200E+00    2.0847730E+00
     1.2298400E+00    2.0469790E+00
     1.2415400E+00    1.8103704E+00
     1.2541100E+00    1.9902634E+00
     1.2603800E+00    2.0754796E+00
     1.2787300E+00    2.1039309E+00
     1.2898500E+00    1.5833308E+00
     1.3026600E+00    1.8768224E+00
     1.3146700E+00    1.7916653E+00
     1.3212200E+00    2.0094016E+00
     1.3268100E+00    1.7633026E+00
     1.3458900E+00    2.1420104E+00
     1.3628500E+00    1.4983706E+00
     1.3631800E+00    1.6592929E+00
     1.3815500E+00    1.6972148E+00
     1.3979300E+00    7.6958756E-01
     1.3985200E+00    1.0535751E+00
     1.4031900E+00    3.6256139E-01
     1.4148200E+00    8.8081549E-02
     1.4150300E+00    1.9220886E-01
     1.4208400E+00    5.0236074E-02
     1.4329700E+00    2.1876112E-02
     1.4512300E+00    3.0014667E-03
     1.4877900E+00    0.0000000E+00
     1.5304900E+00    3.2515922E-03
     1.5731600E+00    0.0000000E+00
