;+
;> DESCRIPTION = 'Filter transmission curve for PACS-100 micron band'
;> WAVE_UNITS  = '[um]'
;> T_UNITS     = '[]'
;-

;~            WAVE                T
     7.7161000E+01   -2.6453564E-17
     7.7619736E+01    8.5393888E-04
     7.8081199E+01    1.7129546E-03
     7.8545406E+01    2.5770773E-03
     7.9012372E+01    3.4463374E-03
     7.9482115E+01    4.3207653E-03
     7.9954651E+01    5.9810738E-03
     8.0429995E+01    1.0313130E-02
     8.0908166E+01    1.4670941E-02
     8.1389180E+01    2.3240602E-02
     8.1873053E+01    3.3693310E-02
     8.2359803E+01    4.9109482E-02
     8.2849447E+01    7.2943056E-02
     8.3342001E+01    1.0062959E-01
     8.3837484E+01    1.3674506E-01
     8.4335913E+01    1.8725968E-01
     8.4837305E+01    2.0192676E-01
     8.5341678E+01    3.6403346E-01
     8.5849050E+01    3.8827872E-01
     8.6359438E+01    4.0854671E-01
     8.6872860E+01    4.2795602E-01
     8.7389335E+01    4.4344228E-01
     8.7908880E+01    4.5373030E-01
     8.8431514E+01    4.6351732E-01
     8.8957256E+01    4.7202752E-01
     8.9486122E+01    4.8041310E-01
     9.0018133E+01    4.8807483E-01
     9.0553307E+01    4.9546918E-01
     9.1091663E+01    5.0012020E-01
     9.1633219E+01    5.0479887E-01
     9.2177995E+01    5.0950536E-01
     9.2726010E+01    5.1423983E-01
     9.3277283E+01    5.1900298E-01
     9.3831833E+01    5.2485404E-01
     9.4389680E+01    5.3073988E-01
     9.4950843E+01    5.3666071E-01
     9.5515343E+01    5.4159180E-01
     9.6083199E+01    5.4648993E-01
     9.6654431E+01    5.5141717E-01
     9.7229059E+01    5.4964022E-01
     9.7807103E+01    5.4695007E-01
     9.8388584E+01    5.4424394E-01
     9.8973521E+01    5.3939096E-01
     9.9561937E+01    5.3429815E-01
     1.0015385E+02    5.2980350E-01
     1.0074928E+02    5.2642463E-01
     1.0134826E+02    5.2302566E-01
     1.0195079E+02    5.2200000E-01
     1.0255690E+02    5.2200000E-01
     1.0316662E+02    5.2200000E-01
     1.0377997E+02    5.1593800E-01
     1.0439696E+02    5.0930607E-01
     1.0501762E+02    5.0263472E-01
     1.0564197E+02    4.9592370E-01
     1.0627003E+02    4.8921174E-01
     1.0690182E+02    4.8251427E-01
     1.0753737E+02    4.7577699E-01
     1.0817670E+02    4.6963552E-01
     1.0881983E+02    4.6368485E-01
     1.0946678E+02    4.5885930E-01
     1.1011758E+02    4.5495451E-01
     1.1077225E+02    4.5102649E-01
     1.1143081E+02    4.4707513E-01
     1.1209329E+02    4.4165128E-01
     1.1275970E+02    4.3565474E-01
     1.1343008E+02    4.3173463E-01
     1.1410444E+02    4.3497093E-01
     1.1478281E+02    4.3822646E-01
     1.1546522E+02    4.3561986E-01
     1.1615168E+02    4.3116810E-01
     1.1684222E+02    4.2668987E-01
     1.1753687E+02    4.2270511E-01
     1.1823565E+02    4.1947202E-01
     1.1893858E+02    4.1621971E-01
     1.1964569E+02    4.1294807E-01
     1.2035701E+02    4.0965698E-01
     1.2107255E+02    4.0239324E-01
     1.2179235E+02    3.9410183E-01
     1.2251642E+02    3.8666599E-01
     1.2324481E+02    3.7932448E-01
     1.2397752E+02    3.6701992E-01
     1.2471459E+02    3.5235708E-01
     1.2545604E+02    3.3500540E-01
     1.2620190E+02    3.1375454E-01
     1.2695219E+02    2.8907557E-01
     1.2770694E+02    2.5473117E-01
     1.2846618E+02    2.1949353E-01
     1.2922994E+02    1.5443341E-01
     1.2999823E+02    1.2236889E-01
     1.3077110E+02    6.3192646E-02
     1.3154855E+02    3.4053021E-02
     1.3233063E+02    2.0075234E-02
     1.3311736E+02    8.9289964E-03
     1.3390877E+02    8.4542474E-03
     1.3470488E+02    7.9778202E-03
     1.3550573E+02    7.5209778E-03
     1.3631133E+02    7.0614195E-03
     1.3712173E+02    7.6011351E-03
     1.3793694E+02    8.2984946E-03
     1.3875700E+02    9.0000000E-03
