;+
;> DESCRIPTION = 'Filter transmission curve for R-Band'
;> WAVE_UNITS  = '[um]'
;> T_UNITS     = '[]'
;-

;~            WAVE                T
     5.4037000E-01    1.6730000E-01
     5.4082000E-01    1.8050000E-01
     5.4128000E-01    1.7890000E-01
     5.4173000E-01    1.8120000E-01
     5.4218000E-01    1.8470000E-01
     5.4264000E-01    1.8420000E-01
     5.4309000E-01    1.8570000E-01
     5.4355000E-01    1.9540000E-01
     5.4400000E-01    2.0090000E-01
     5.4446000E-01    2.1060000E-01
     5.4491000E-01    2.2980000E-01
     5.4536000E-01    2.6100000E-01
     5.4582000E-01    2.7340000E-01
     5.4627000E-01    2.9660000E-01
     5.4673000E-01    3.2120000E-01
     5.4718000E-01    3.6530000E-01
     5.4763000E-01    4.2070000E-01
     5.4809000E-01    4.8890000E-01
     5.4854000E-01    5.5430000E-01
     5.4900000E-01    6.6460000E-01
     5.4945000E-01    7.9500000E-01
     5.4990000E-01    9.4810000E-01
     5.5036000E-01    1.1256000E+00
     5.5081000E-01    1.3598000E+00
     5.5126000E-01    1.6496000E+00
     5.5172000E-01    1.9983000E+00
     5.5217000E-01    2.4097000E+00
     5.5263000E-01    2.9078000E+00
     5.5308000E-01    3.4936000E+00
     5.5353000E-01    4.1689000E+00
     5.5399000E-01    4.9408000E+00
     5.5444000E-01    5.8463000E+00
     5.5489000E-01    6.8479000E+00
     5.5535000E-01    7.9997000E+00
     5.5580000E-01    9.2301000E+00
     5.5625000E-01    1.0592400E+01
     5.5671000E-01    1.2109700E+01
     5.5716000E-01    1.3742000E+01
     5.5762000E-01    1.5411700E+01
     5.5807000E-01    1.7239900E+01
     5.5852000E-01    1.9122800E+01
     5.5898000E-01    2.1152900E+01
     5.5943000E-01    2.3215300E+01
     5.5988000E-01    2.5281500E+01
     5.6034000E-01    2.7509000E+01
     5.6079000E-01    2.9720400E+01
     5.6124000E-01    3.1907500E+01
     5.6169000E-01    3.4155500E+01
     5.6215000E-01    3.6358800E+01
     5.6260000E-01    3.8549000E+01
     5.6305000E-01    4.0763400E+01
     5.6351000E-01    4.2803200E+01
     5.6396000E-01    4.4780900E+01
     5.6441000E-01    4.6751400E+01
     5.6487000E-01    4.8612500E+01
     5.6532000E-01    5.0327400E+01
     5.6577000E-01    5.1929900E+01
     5.6623000E-01    5.3485900E+01
     5.6668000E-01    5.4965700E+01
     5.6713000E-01    5.6436900E+01
     5.6758000E-01    5.7865800E+01
     5.6804000E-01    5.9181800E+01
     5.6849000E-01    6.0491600E+01
     5.6894000E-01    6.1696000E+01
     5.6940000E-01    6.2734900E+01
     5.6985000E-01    6.3682700E+01
     5.7030000E-01    6.4684300E+01
     5.7075000E-01    6.5448500E+01
     5.7121000E-01    6.6301300E+01
     5.7166000E-01    6.7114700E+01
     5.7211000E-01    6.8084500E+01
     5.7256000E-01    6.8983500E+01
     5.7302000E-01    6.9830600E+01
     5.7347000E-01    7.0533800E+01
     5.7392000E-01    7.1295000E+01
     5.7437000E-01    7.1874600E+01
     5.7483000E-01    7.2353500E+01
     5.7528000E-01    7.2629800E+01
     5.7573000E-01    7.2868000E+01
     5.7618000E-01    7.3247400E+01
     5.7664000E-01    7.3506300E+01
     5.7709000E-01    7.3748400E+01
