;+
;> DESCRIPTION = 'Filter transmission curve for U-Band'
;> WAVE_UNITS  = '[um]'
;> T_UNITS     = '[]'
;-

;~            WAVE                T
     3.1532000E-01    0.0000000E+00
     3.1578000E-01    0.0000000E+00
     3.1625000E-01    0.0000000E+00
     3.1672000E-01    5.7790000E+00
     3.1718000E-01    1.2847100E+01
     3.1765000E-01    1.6870100E+01
     3.1811000E-01    2.2284300E+01
     3.1858000E-01    1.3763300E+01
     3.1904000E-01    1.6897100E+01
     3.1951000E-01    2.6468800E+01
     3.1998000E-01    2.3918800E+01
     3.2044000E-01    3.2093100E+01
     3.2091000E-01    3.2432900E+01
     3.2137000E-01    3.9420200E+01
     3.2184000E-01    3.9163700E+01
     3.2230000E-01    4.4823900E+01
     3.2277000E-01    5.6127000E+01
     3.2323000E-01    5.7767500E+01
     3.2370000E-01    5.0245100E+01
     3.2417000E-01    4.6375300E+01
     3.2463000E-01    4.5025200E+01
     3.2510000E-01    4.8221400E+01
     3.2556000E-01    6.0409800E+01
     3.2603000E-01    6.8911700E+01
     3.2649000E-01    7.3253000E+01
     3.2696000E-01    6.7667300E+01
     3.2742000E-01    7.1354300E+01
     3.2789000E-01    6.9714500E+01
     3.2835000E-01    6.2563800E+01
     3.2882000E-01    5.7722100E+01
     3.2928000E-01    6.2530700E+01
     3.2975000E-01    6.8078600E+01
     3.3021000E-01    7.6654600E+01
     3.3068000E-01    7.3580500E+01
     3.3114000E-01    7.0661000E+01
     3.3161000E-01    6.5991600E+01
     3.3208000E-01    7.0941800E+01
     3.3254000E-01    8.1102000E+01
     3.3301000E-01    8.1206300E+01
     3.3347000E-01    8.6542900E+01
     3.3394000E-01    8.6578500E+01
     3.3440000E-01    8.1918000E+01
     3.3487000E-01    7.6536900E+01
     3.3533000E-01    7.1379600E+01
     3.3580000E-01    7.1185500E+01
     3.3626000E-01    7.1277300E+01
     3.3672000E-01    7.0742900E+01
     3.3719000E-01    7.6465500E+01
     3.3765000E-01    7.2079100E+01
     3.3812000E-01    6.8286500E+01
     3.3858000E-01    6.8866200E+01
     3.3905000E-01    6.8782300E+01
     3.3951000E-01    7.2233800E+01
     3.3998000E-01    7.3877400E+01
     3.4044000E-01    7.8896100E+01
     3.4091000E-01    7.9988300E+01
     3.4137000E-01    8.1058700E+01
     3.4184000E-01    7.7664700E+01
     3.4230000E-01    8.0909100E+01
     3.4277000E-01    7.8958700E+01
     3.4323000E-01    8.1257300E+01
     3.4370000E-01    8.0605100E+01
     3.4416000E-01    8.1718900E+01
     3.4462000E-01    8.4447900E+01
     3.4509000E-01    8.8395100E+01
     3.4555000E-01    8.8340700E+01
     3.4602000E-01    9.0976900E+01
     3.4648000E-01    8.7965300E+01
     3.4695000E-01    8.8980400E+01
     3.4741000E-01    8.5821100E+01
     3.4787000E-01    8.7457700E+01
     3.4834000E-01    8.7274600E+01
     3.4880000E-01    8.8441200E+01
     3.4927000E-01    8.9195000E+01
     3.4973000E-01    8.9665200E+01
     3.5020000E-01    8.9036700E+01
     3.5066000E-01    8.8202000E+01
     3.5112000E-01    8.7988500E+01
     3.5159000E-01    9.1511400E+01
     3.5205000E-01    9.2945400E+01
     3.5252000E-01    9.6849400E+01
     3.5298000E-01    9.3890300E+01
