;+
;> DESCRIPTION = 'Filter transmission curve for V-Band'
;> WAVE_UNITS  = '[um]'
;> T_UNITS     = '[]'
;-

;~            WAVE                T
     4.7010000E-01    3.9100000E-01
     4.7056000E-01    3.7830000E-01
     4.7102000E-01    3.6960000E-01
     4.7148000E-01    3.5290000E-01
     4.7194000E-01    3.4840000E-01
     4.7239000E-01    3.4050000E-01
     4.7285000E-01    3.2770000E-01
     4.7331000E-01    3.3440000E-01
     4.7377000E-01    4.0240000E-01
     4.7423000E-01    4.6100000E-01
     4.7468000E-01    5.4710000E-01
     4.7514000E-01    6.4190000E-01
     4.7560000E-01    7.2160000E-01
     4.7606000E-01    7.9590000E-01
     4.7652000E-01    9.0300000E-01
     4.7697000E-01    1.1275000E+00
     4.7743000E-01    1.3199000E+00
     4.7789000E-01    1.5332000E+00
     4.7835000E-01    1.6867000E+00
     4.7880000E-01    1.9083000E+00
     4.7926000E-01    2.2674000E+00
     4.7972000E-01    2.7068000E+00
     4.8018000E-01    3.1895000E+00
     4.8063000E-01    3.5580000E+00
     4.8109000E-01    4.0095000E+00
     4.8155000E-01    4.6900000E+00
     4.8201000E-01    5.6835000E+00
     4.8246000E-01    6.5483000E+00
     4.8292000E-01    7.1937000E+00
     4.8338000E-01    7.8661000E+00
     4.8384000E-01    9.2118000E+00
     4.8429000E-01    1.0878000E+01
     4.8475000E-01    1.2239900E+01
     4.8521000E-01    1.3184000E+01
     4.8567000E-01    1.4573000E+01
     4.8612000E-01    1.6981100E+01
     4.8658000E-01    1.9568300E+01
     4.8704000E-01    2.1592400E+01
     4.8750000E-01    2.3172300E+01
     4.8795000E-01    2.5450100E+01
     4.8841000E-01    2.8398100E+01
     4.8887000E-01    3.1085500E+01
     4.8932000E-01    3.3073600E+01
     4.8978000E-01    3.4815700E+01
     4.9024000E-01    3.6528800E+01
     4.9070000E-01    3.7546500E+01
     4.9115000E-01    3.7865800E+01
     4.9161000E-01    3.8319400E+01
     4.9207000E-01    3.9063800E+01
     4.9252000E-01    3.8765200E+01
     4.9298000E-01    3.6956600E+01
     4.9344000E-01    3.5127000E+01
     4.9389000E-01    3.5032200E+01
     4.9435000E-01    3.5559100E+01
     4.9481000E-01    3.4737800E+01
     4.9526000E-01    3.2067700E+01
     4.9572000E-01    2.9741800E+01
     4.9618000E-01    2.9338000E+01
     4.9663000E-01    2.9953600E+01
     4.9709000E-01    2.9528600E+01
     4.9755000E-01    2.7783000E+01
     4.9800000E-01    2.6151300E+01
     4.9846000E-01    2.6220700E+01
     4.9892000E-01    2.7065600E+01
     4.9937000E-01    2.7330600E+01
     4.9983000E-01    2.6304400E+01
     5.0029000E-01    2.5241300E+01
     5.0074000E-01    2.5331000E+01
     5.0120000E-01    2.6522600E+01
     5.0166000E-01    2.7533800E+01
     5.0211000E-01    2.7319400E+01
     5.0257000E-01    2.6638500E+01
     5.0303000E-01    2.6672300E+01
     5.0348000E-01    2.7985700E+01
     5.0394000E-01    2.9695000E+01
     5.0440000E-01    3.0695900E+01
     5.0485000E-01    3.0848300E+01
     5.0531000E-01    3.1120800E+01
     5.0576000E-01    3.2547500E+01
     5.0622000E-01    3.4901600E+01
     5.0668000E-01    3.7066200E+01
     5.0713000E-01    3.8203200E+01
